Designator,Mid X,Mid Y,Rotation,Layer
C1,143.002,-89.027,0.0,top
C10,143.002,-84.455,0.0,top
C11,137.0,-94.225,270.0,top
C12,135.382,-94.234,270.0,top
C13,133.096,-94.234,270.0,top
C14,150.0,-95.975,270.0,top
C15,145.5,-96.0,270.0,top
C16,160.325,-83.4,0.0,top
C2,134.62,-81.026,90.0,top
C3,145.557861,-81.407,90.0,top
C4,138.43,-94.234,270.0,top
C5,143.002,-87.503,0.0,top
C6,133.096,-81.026,90.0,top
C7,143.002,-90.551,0.0,top
C8,139.954,-94.234,270.0,top
C9,143.002,-85.979,0.0,top
IC1,136.398,-87.63,180.0,top
J1,154.96066,-89.83934,315.0,top
J2,112.287911,-89.783511,45.0,top
J3,132.5,-73.5,270.0,bottom
L1,131.445,-94.234,270.0,top
L2,128.778,-96.774,0.0,top
L3,147.7875,-95.2,0.0,top
R1,139.192,-81.026,90.0,top
R10,159.0,-86.5,0.0,top
R2,137.668,-81.026,90.0,top
R3,136.144,-81.026,90.0,top
R4,129.3934,-89.964867,0.0,top
R5,129.3934,-88.168816,0.0,top
R6,129.3934,-86.372764,0.0,top
R7,129.3934,-84.576713,0.0,top
R8,154.2,-82.7,90.0,top
R9,152.6,-82.7,90.0,top
U1,160.5,-79.9,90.0,top
Y1,143.04339,-81.407,180.0,top
